cos_theta_center,cos_theta_det_center,counts,omega
0.2050000000,0.9250000000,0,0.0000000000
0.2050000000,0.9750000000,0,0.0000000000
0.2150000000,0.0250000000,0,0.0000000000
0.2150000000,0.0750000000,0,0.0000000000
0.2150000000,0.1250000000,0,0.0000000000
0.2150000000,0.1750000000,0,0.0000000000
0.2150000000,0.2250000000,213,0.0000042600
0.2150000000,0.2750000000,4126,0.0000825200
0.2150000000,0.3250000000,13739,0.0002747800
0.2150000000,0.3750000000,20263,0.0004052600
0.2150000000,0.4250000000,25157,0.0005031400
0.2150000000,0.4750000000,30630,0.0006126000
0.2150000000,0.5250000000,49394,0.0009878800
0.2150000000,0.5750000000,14435,0.0002887000
0.2150000000,0.6250000000,15935,0.0003187000
0.2150000000,0.6750000000,17816,0.0003563200
0.2150000000,0.7250000000,20763,0.0004152600
0.2150000000,0.7750000000,27075,0.0005415000
0.2150000000,0.8250000000,56493,0.0011298600
0.2150000000,0.8750000000,0,0.0000000000
0.2150000000,0.9250000000,0,0.0000000000
0.2150000000,0.9750000000,0,0.0000000000
0.2250000000,0.0250000000,0,0.0000000000
0.2250000000,0.0750000000,0,0.0000000000
0.2250000000,0.1250000000,0,0.0000000000
0.2250000000,0.1750000000,0,0.0000000000
0.2250000000,0.2250000000,236,0.0000047200
0.2250000000,0.2750000000,3986,0.0000797200
0.2250000000,0.3250000000,13526,0.0002705200
0.2250000000,0.3750000000,20145,0.0004029000
0.2250000000,0.4250000000,24931,0.0004986200
0.2250000000,0.4750000000,31633,0.0006326600
0.2250000000,0.5250000000,43542,0.0008708400
0.2250000000,0.5750000000,14603,0.0002920600
0.2250000000,0.6250000000,15748,0.0003149600
0.2250000000,0.6750000000,17481,0.0003496200
0.2250000000,0.7250000000,20232,0.0004046400
0.2250000000,0.7750000000,26111,0.0005222200
0.2250000000,0.8250000000,59104,0.0011820800
0.2250000000,0.8750000000,706,0.0000141200
0.2250000000,0.9250000000,0,0.0000000000
0.2250000000,0.9750000000,0,0.0000000000
0.2350000000,0.0250000000,0,0.0000000000
0.2350000000,0.0750000000,0,0.0000000000
0.2350000000,0.1250000000,0,0.0000000000
0.2350000000,0.1750000000,0,0.0000000000
0.2350000000,0.2250000000,235,0.0000047000
0.2350000000,0.2750000000,3893,0.0000778600
0.2350000000,0.3250000000,13078,0.0002615600
0.2350000000,0.3750000000,19803,0.0003960600
0.2350000000,0.4250000000,24960,0.0004992000
0.2350000000,0.4750000000,33052,0.0006610400
0.2350000000,0.5250000000,38258,0.0007651600
0.2350000000,0.5750000000,14319,0.0002863800
0.2350000000,0.6250000000,15474,0.0003094800
0.2350000000,0.6750000000,17538,0.0003507600
0.2350000000,0.7250000000,19992,0.0003998400
0.2350000000,0.7750000000,25180,0.0005036000
0.2350000000,0.8250000000,47754,0.0009550800
0.2350000000,0.8750000000,15501,0.0003100200
0.2350000000,0.9250000000,0,0.0000000000
0.2350000000,0.9750000000,0,0.0000000000
0.2450000000,0.0250000000,0,0.0000000000
0.2450000000,0.0750000000,0,0.0000000000
0.2450000000,0.1250000000,0,0.0000000000
0.2450000000,0.1750000000,0,0.0000000000
0.2450000000,0.2250000000,202,0.0000040400
0.2450000000,0.2750000000,3922,0.0000784400
0.2450000000,0.3250000000,13091,0.0002618200
0.2450000000,0.3750000000,19635,0.0003927000
0.2450000000,0.4250000000,25367,0.0005073400
0.2450000000,0.4750000000,35518,0.0007103600
0.2450000000,0.5250000000,31981,0.0006396200
0.2450000000,0.5750000000,14220,0.0002844000
0.2450000000,0.6250000000,15419,0.0003083800
0.2450000000,0.6750000000,17046,0.0003409200
0.2450000000,0.7250000000,19555,0.0003911000
0.2450000000,0.7750000000,24575,0.0004915000
0.2450000000,0.8250000000,40779,0.0008155800
0.2450000000,0.8750000000,25401,0.0005080200
0.2450000000,0.9250000000,0,0.0000000000
0.2450000000,0.9750000000,0,0.0000000000
0.2550000000,0.0250000000,0,0.0000000000
0.2550000000,0.0750000000,0,0.0000000000
0.2550000000,0.1250000000,0,0.0000000000
0.2550000000,0.1750000000,0,0.0000000000
0.2550000000,0.2250000000,159,0.0000031800
0.2550000000,0.2750000000,3727,0.0000745400
0.2550000000,0.3250000000,12920,0.0002584000
0.2550000000,0.3750000000,19538,0.0003907600
