cos_theta_center,cos_theta_det_center,counts,omega
0.2850000000,0.4750000000,49211,0.0009842200
0.2850000000,0.5250000000,13392,0.0002678400
0.2850000000,0.5750000000,14174,0.0002834800
0.2850000000,0.6250000000,14799,0.0002959800
0.2850000000,0.6750000000,16179,0.0003235800
0.2850000000,0.7250000000,18615,0.0003723000
0.2850000000,0.7750000000,22147,0.0004429400
0.2850000000,0.8250000000,31129,0.0006225800
0.2850000000,0.8750000000,46710,0.0009342000
0.2850000000,0.9250000000,0,0.0000000000
0.2850000000,0.9750000000,0,0.0000000000
0.2950000000,0.0250000000,0,0.0000000000
0.2950000000,0.0750000000,0,0.0000000000
0.2950000000,0.1250000000,0,0.0000000000
0.2950000000,0.1750000000,0,0.0000000000
0.2950000000,0.2250000000,1245,0.0000249000
0.2950000000,0.2750000000,11017,0.0002203400
